,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
51,2.4460023244222007,0.024536414025773452,0.05400268236796061,0.0037425119803394438,True,2980,,100,0.001,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 100}",0.6960241570206341,0.6926755600302039,0.6876415806695193,0.6921137659067859,0.0034451517671841188,43
16,0.34833256403605145,0.059918583883464764,0.012000004450480143,0.0021573322340993355,True,,,100,0.005,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 12}",0.696527428283845,0.6894034734457589,0.6899068713818274,0.6919459243704771,0.0032461244535253947,44
17,2.394662857055664,0.01720990702569637,0.05133406321207682,0.00367936880835132,True,,,100,0.005,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 100}",0.696527428283845,0.6941857538384093,0.6843694940850743,0.6916942254024429,0.005266853991763412,45
49,2.5609988371531167,0.014235385152784736,0.05366873741149902,0.002868065451415508,True,2980,,100,2,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 100}",0.6972823351786613,0.6954442486785805,0.6813491064686634,0.6913585634419684,0.007117422856192528,46
53,2.5896665255228677,0.07211426911061351,0.04400173823038737,0.002826761360174106,True,2980,,100,0.005,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 100}",0.6980372420734776,0.6906619682859301,0.6853762899572112,0.6913585001055397,0.005192224607005752,47
48,0.3163313070933024,0.022530766165163762,0.011333306630452475,0.0017000954923757122,True,2980,,100,2,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 12}",0.6937594363361852,0.6881449786055878,0.6919204631261012,0.6912749593559581,0.0023370979497542243,48
31,2.605334917704264,0.1373483875436967,0.05699912707010905,0.008641244387219858,True,1192,,100,2,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 100}",0.6980372420734776,0.6906619682859301,0.6846211930531085,0.6911068011375053,0.0054861036585550724,49
13,2.372330824534098,0.0548233058027804,0.051332314809163414,0.005435767231323807,True,,,100,2,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 100}",0.6955208857574232,0.6899068713818274,0.6861313868613139,0.6905197146668548,0.0038576638050346695,50
35,2.8159982363382974,0.03441540482202527,0.05366667111714681,0.0016983032112018283,True,1192,,100,0.005,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 100}",0.6947659788626069,0.6939340548703751,0.6823559023408005,0.6903519786912607,0.00566427118783499,51
12,0.3039991060892741,0.01574519890391469,0.009999990463256836,0.0008168273640935156,True,,,100,2,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 12}",0.6947659788626069,0.6810974075006292,0.6934306569343066,0.6897646810991809,0.0061528852249528,52
33,2.827333927154541,0.10008695320572404,0.09966794649759929,0.06143893177214501,True,1192,,100,0.001,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 100}",0.6980372420734776,0.6889000755096905,0.6805940095645607,0.6891771090492429,0.007123863688409609,53
30,0.30300045013427734,0.005715840644023494,0.012331883112589518,0.0012487430267649408,True,1192,,100,2,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 12}",0.6937594363361852,0.6861313868613139,0.6863830858293481,0.6887579696756158,0.00353806346845447,54
